"Unique ID";"Name";"Nation";"Division";"Status";"Stad Cap";"Division ID"
"2000228397";"Nippon TV Tokyo Beleza";"Japon";"SOMPO WE League";"Professional";"7137";"2000225855"
"2000252768";"Celesti";"Italie";"Serie A Women Athora";"Professional";"3000";"2000168606"
"2000337848";"Palmeiras";"Brésil";"Première division";"Professional";"13000";"2000314935"
"96";"San Lorenzo";"Argentine";"1ère Division";"Professional";"47900";"102421"
"256";"RSC Anderlecht";"Belgique";"Jupiler Pro League";"Professional";"21500";"1"
"600";"Bournemouth";"Angleterre";"Premier League";"Professional";"11700";"11"
"1009";"FC Twente";"Pays-Bas";"Eredivisie";"Professional";"30205";"29"
"1114";"Cagliari";"Italie";"Serie A";"Professional";"16412";"32"
"1456";"Legia";"Pologne";"PKO BP Ekstraklasa";"Professional";"31103";"129558"
"1714";"Granada";"Espagne";"2ème Division";"Professional";"21366";"68"
"1717";"Levante";"Espagne";"Première Division";"Professional";"26354";"67"
"1747";"Valladolid";"Espagne";"2ème Division";"Professional";"27618";"68"
"106029";"Santos Laguna";"Mexique";"1ère Division";"Professional";"30000";"135973"
"476";"Sparta Prague";"Rép. tchèque";"1ère Division";"Professional";"19000";"131287"
"859";"Montpellier";"France";"Ligue 2 BKT";"Professional";"19872";"17"
"905";"VfL Bochum 1848";"Allemagne";"Bundesliga 2";"Professional";"26000";"23"
"1156";"Parma";"Italie";"Serie A";"Professional";"22352";"32"
"1847";"Young Boys";"Suisse";"Super League";"Professional";"14000";"137889"
"1849";"Basel";"Suisse";"Super League";"Professional";"38512";"137889"
"2047";"Reims";"France";"Ligue 2 BKT";"Professional";"20546";"17"
"102853";"Al Sadd";"Qatar";"Première Division";"Professional";"12946";"5632126"
"102862";"Al Nassr";"Arabie saoudite";"1ère division saoudienne";"Professional";"26004";"7920263"
"130344";"Konyaspor";"Turquie";"Super League";"Professional";"37829";"130286"
"301344";"MFC";"Brésil";"1ère Division";"Professional";"15000";"102423"
"16034828";"Wolfsberger AC";"Autriche";"Première Ligue";"Professional";"7300";"136543"
"72000160";"New York";"États-Unis";"MLS";"Professional";"25219";"40"
"72000789";"Toronto FC";"Canada";"MLS";"Professional";"30991";"40"
"72019000";"Philadelphia";"États-Unis";"MLS";"Professional";"18500";"40"
"2000104567";"Leicester";"Angleterre";"WSL";"Professional";"32273";"2000101095"
"2000138348";"FC Rosengård";"Suède";"OBOS Damallsvenskan";"Professional";"7600";"2000138349"
"2000148285";"SGS Essen";"Allemagne";"GP Frauen-Bundesliga";"Professional";"19300";"2000148115"
"2000167913";"Valencia";"Espagne";"Deuxième Division";"Professional";"3500";"2000180088"
"2000214748";"RB Leipzig";"Allemagne";"GP Frauen-Bundesliga";"Professional";"2050";"2000148115"
"2000228003";"Urawa Reds";"Japon";"SOMPO WE League";"Professional";"21481";"2000225855"
"154";"LASK Linz";"Autriche";"Première Ligue";"Professional";"19080";"136543"
"262";"Antwerp";"Belgique";"Jupiler Pro League";"Professional";"22911";"1"
"427";"Atlético Nacional";"Colombie";"1ère Division";"Professional";"48700";"5260948"
"886";"Toulouse FC";"France";"Ligue 1 McDonald's";"Professional";"31800";"16"
"921";"Fortuna Düsseldorf";"Allemagne";"Bundesliga 2";"Professional";"53500";"23"
"927";"Hannover 96";"Allemagne";"Bundesliga 2";"Professional";"49000";"23"
"107206";"ATP";"Brésil";"2ème Division";"Professional";"42370";"107191"
"3800256";"Sassuolo";"Italie";"Serie A";"Professional";"21584";"32"
"20041327";"Cincinnati";"États-Unis";"MLS";"Professional";"26000";"40"
"2000166590";"Rosenborg";"Norvège";"Première Division";"Professional";"2000";"2000148543"
"2000167905";"Real Hispalis";"Espagne";"-";"Professional";"1500";"-1"
"2000183851";"ASSE";"France";"Division 1";"Professional";"1250";"2000149107"
"2000219496";"RC Lens";"France";"Division 1";"Professional";"5228";"2000149107"
"399";"Colo Colo";"Chili";"1ère Division";"Professional";"47000";"5250792"
"168";"KAA Gent";"Belgique";"Jupiler Pro League";"Professional";"20000";"1"
"419";"Junior";"Colombie";"1ère Division";"Professional";"49612";"5260948"
"477";"Viktoria Plzen";"Rép. tchèque";"1ère Division";"Professional";"11700";"131287"
"526";"FC Midtjylland";"Danemark";"3F Superliga";"Professional";"12152";"6"
"622";"Burnley";"Angleterre";"Premier League";"Professional";"22546";"11"
"899";"1. FC Nürnberg";"Allemagne";"Bundesliga 2";"Professional";"50000";"23"
"1010";"FC Utrecht";"Pays-Bas";"Eredivisie";"Professional";"23750";"29"
"1141";"U.S. Lecce";"Italie";"Serie A";"Professional";"38200";"32"
"1682";"Cádiz";"Espagne";"2ème Division";"Professional";"21061";"68"
"1753";"Eibar";"Espagne";"2ème Division";"Professional";"8050";"68"
"1772";"Las Palmas";"Espagne";"2ème Division";"Professional";"32400";"68"
